"ROI1","ROI2","net1","net2","idx1","idx2","tval","df","pval"
"Area_5m_L","Area_6_anterior_L","SMH","SMH",35,48,2.77834597625309,56,0.00742179054946119
"Area_2_L","Area_PFt_L","SMH","DAN",54,55,3.42943067203309,56,0.00114182487420839
"Area_5m_L","Area_2_L","SMH","SMH",35,57,3.07134425338966,56,0.00328598749647687
"Area_Lateral_IntraParietal_ventral_L","Area_2_L","DAN","SMH",51,58,2.70931589294996,56,0.00892921547733699
"Area_8BM_L","Area_posterior_47r_L","FPN","VAN",24,79,2.8540835611955,56,0.00603992521130643
"Superior_Frontal_Language_Area_L","Area_47s_L","VAN","VAN",23,80,2.84009618279315,56,0.00627571214015146
"Area_44_L","Area_47s_L","VAN","VAN",75,80,2.73959276392113,56,0.00823643775486281
"Area_8BM_L","Area_47l_(47_lateral)_L","FPN","VAN",24,85,2.84244992144222,56,0.00623544858663757
"Anterior_Agranular_Insula_Complex_L","Area_47l_(47_lateral)_L","SAL","VAN",83,85,3.91607503317831,56,0.000246782242865143
"Area_2_L","Medial_IntraParietal_Area_L","SMH","DAN",58,87,2.70870476053596,56,0.00894373383893679
"Area_2_L","Area_PH_L","SMH","DAN",54,100,2.72427017414114,56,0.00858062140200564
"Area_2_L","Area_PH_L","SMH","DAN",58,100,2.97319340797121,56,0.00433994065793458
"Area_TE1_posterior_L","Area_8C_L","FPN","DAN",9,107,3.48745949724441,56,0.000956425254721696
"Area_45_L","Area_8C_L","VAN","DAN",86,107,2.77149781418369,56,0.00756012417828149
"Anterior_Agranular_Insula_Complex_L","Area_IFJa_L","SAL","DAN",83,113,2.96847492905749,56,0.00439779544241946
"Area_PH_L","Area_IFJa_L","DAN","DAN",100,113,2.78252722162831,56,0.00733847902300473
"Area_posterior_9-46v_L","Area_IFJa_L","FPN","DAN",109,113,2.66814487045947,56,0.00995709599553412
"Area_8BM_L","Area_TE1_Middle_L","FPN","DMN",24,126,2.91115258694656,56,0.00516036072967081
"Area_TE1_Middle_L","Area_9_anterior_L","DMN","DMN",126,146,2.82420671489059,56,0.00655386897044305
"Area_8BM_L","Superior_6-8_Transitional_Area_R","FPN","DMN",24,165,2.7336231424078,56,0.00836899363431884
"Area_8C_L","Area_TE1_posterior_R","DAN","FPN",107,170,3.3136082987732,56,0.00161849481102996
"Area_47l_(47_lateral)_L","Area_8BM_R","VAN","FPN",85,182,3.53889893958065,56,0.000816348749663498
"Superior_Frontal_Language_Area_L","Area_anterior_32_prime_R","DMN","SAL",4,183,3.53937573354251,56,0.00081514675074801
"Area_9_Posterior_L","Area_anterior_32_prime_R","DMN","SAL",145,183,2.80725255842203,56,0.00686318626379893
"Area_PH_L","Area_6_anterior_R","DAN","DAN",100,199,3.28852919182343,56,0.00174399842467772
"Area_5m_L","Area_6mp_R","SMH","SMH",35,207,2.87409117790144,56,0.00571687387801909
"Area_7PC_R","Area_posterior_47r_R","SMH","FPN",210,240,3.11530144913394,56,0.0028962437295971
"Superior_Frontal_Language_Area_L","Anterior_Agranular_Insula_Complex_R","DMN","VAN",4,243,2.67014894643777,56,0.00990465590718301
"Area_47s_L","Anterior_Agranular_Insula_Complex_R","VAN","VAN",80,243,2.71587658597335,56,0.00877471227108539
"Area_47l_(47_lateral)_L","Anterior_Ventral_Insular_Area_R","VAN","SAL",85,247,2.85899784387499,56,0.00595904869147915
"Area_5m_L","Medial_IntraParietal_Area_R","SMH","DAN",35,252,2.80901012500483,56,0.0068305058887765
"Medial_IntraParietal_Area_L","Area_IntraParietal_0_R","DAN","DAN",88,253,2.91316726346633,56,0.00513159847616609
"Area_PH_L","Area_IntraParietal_0_R","DAN","DAN",100,253,2.92232078117206,56,0.00500278337186393
"Area_2_R","Area_IntraParietal_0_R","SMH","DAN",217,253,3.08440964484803,56,0.00316529862647616
"Area_PH_L","Area_PHT_R","DAN","DAN",100,266,2.84333323111499,56,0.00622040022345025
"Area_2_L","Area_PFt_R","SMH","SMH",54,270,4.65132343944843,56,2.05779724455933e-05
"Area_2_L","Rostral_Area_6_R","SMH","DAN",58,275,2.80934177227872,56,0.00682435533009894
"Dorsal_area_6_L","Area_8BM_R","SMH","DMN",47,325,2.90642276805351,56,0.00522847414569858
"Area_STSd_anterior_R","Auditory_5_Complex_R","DMN","VAN",331,332,2.98078638117932,56,0.00424832611421555
"Area_8BM_L","Cerebelum Crus1 Left","DMN","CBL",25,349,3.22978750881987,56,0.00207484829281983
"Area_8Ad_L","Cerebelum Crus1 Left","DMN","CBL",44,349,2.84404733820893,56,0.00620825900256906
"Area_10d_L","Cerebelum Crus1 Left","DMN","CBL",151,349,3.03397479018951,56,0.00365536048023379
"Area_2_R","Cerebelum Crus1 Left","SMH","CBL",217,349,2.83690308132159,56,0.0063307181872805
"Area_posterior_47r_R","Cerebelum Crus1 Left","FPN","CBL",240,349,3.11489880777395,56,0.00289960838370695
"Area_8Ad_R","Cerebelum Crus1 Left","DMN","CBL",315,349,2.79205392870819,56,0.00715186666069758
"Area_8B_Lateral_R","Cerebelum Crus1 Left","DMN","CBL",324,349,2.73803979114929,56,0.00827073472600491
"Area_PGi_L","Cerebelum Crus1 Right","DMN","CBL",6,350,2.74548250700036,56,0.00810754867049752
"Area_8BM_L","Cerebelum Crus1 Right","FPN","CBL",24,350,4.35506915805409,56,5.7203053959747e-05
"Area_8BM_L","Cerebelum Crus1 Right","DMN","CBL",25,350,3.44038632631808,56,0.00110439440023919
"Area_8Ad_L","Cerebelum Crus1 Right","DMN","CBL",44,350,3.0692620446872,56,0.00330561455949695
"Area_STSd_posterior_L","Cerebelum Crus1 Right","VAN","CBL",62,350,2.7153846905816,56,0.00878621071543397
"Area_PGs_L","Cerebelum Crus1 Right","DMN","CBL",94,350,2.79764615297489,56,0.00704437162015914
"Area_8C_L","Cerebelum Crus1 Right","DAN","CBL",107,350,3.00130155010248,56,0.00400972434449023
"Area_IFSp_R","Cerebelum Crus2 Left","FPN","CBL",276,351,3.11384780968441,56,0.0029084082697183
"Area_PGi_L","Cerebelum Crus2 Right","DMN","CBL",6,352,2.71303131472873,56,0.00884141425101253
"Area_8BM_L","Cerebelum Crus2 Right","FPN","CBL",24,352,3.36943209087863,56,0.00136910122800431
"Area_8C_L","Cerebelum Crus2 Right","DAN","CBL",107,352,2.85429134224386,56,0.00603648521048459
"Dorsal_area_6_R","Cerebelum 4 5 Left","SMH","CBL",205,355,4.53122669204932,56,3.12439395920996e-05
"Area_8BM_L","Cerebelum 4 5 Right","DMN","CBL",25,356,3.42370279440854,56,0.00116187061268918
"Dorsal_area_6_R","Cerebelum 4 5 Right","SMH","CBL",205,356,3.29913498917573,56,0.00168984172650481
"Anterior_IntraParietal_Area_L","Cerebelum 6 Left","SMH","CBL",56,357,2.67359776674902,56,0.00981500275858719
"Area_PH_L","Cerebelum 6 Left","DAN","CBL",100,357,2.68543850858841,56,0.00951282072631422
"Dorsal_area_6_R","Cerebelum 6 Left","SMH","CBL",205,357,3.39858712432021,56,0.00125377554027414
"Area_6mp_R","Cerebelum 6 Left","SMH","CBL",207,357,2.88583116823857,56,0.00553484058818811
"Area_2_R","Cerebelum 6 Left","SMH","CBL",217,357,2.68875611537258,56,0.00942969475465304
"Area_STSd_posterior_L","Cerebelum 6 Right","VAN","CBL",62,358,3.72903611336846,56,0.000450005801662367
"Area_IFSa_L","Cerebelum 6 Right","DAN","CBL",74,358,3.29023551998657,56,0.00173517612288905
"Area_44_L","Cerebelum 6 Right","VAN","CBL",75,358,2.71501781337393,56,0.00879479575894392
"Area_45_L","Cerebelum 6 Right","VAN","CBL",86,358,2.75903141641636,56,0.0078180565183391
"Area_PH_L","Cerebelum 6 Right","DAN","CBL",100,358,3.12626421425838,56,0.0028060278658853
"Rostral_Area_6_L","Cerebelum 6 Right","DAN","CBL",106,358,3.70379989292433,56,0.000487461649299908
"Area_IFJa_L","Cerebelum 6 Right","DAN","CBL",113,358,4.19986579797473,56,9.66612974557103e-05
"Area_TE1_Middle_L","Cerebelum 6 Right","DMN","CBL",126,358,2.73379353850701,56,0.00836518296647248
"Dorsal_area_6_R","Cerebelum 6 Right","SMH","CBL",205,358,3.1826105895406,56,0.0023824752709164
"Cerebelum Crus1 Right","Cerebelum 6 Right","CBL","CBL",350,358,3.12589131070783,56,0.00280905281885515
"Area_46_L","Cerebelum 7b Left","DAN","CBL",155,359,2.68496128111507,56,0.00952483319057198
"Area_2_R","Cerebelum 7b Left","SMH","CBL",217,359,2.98468236509663,56,0.00420202049743974
"Area_IFSp_R","Cerebelum 7b Left","FPN","CBL",276,359,2.6826699930777,56,0.0095827016891835
"Area_8B_Lateral_R","Cerebelum 7b Left","DMN","CBL",324,359,3.23172209333511,56,0.00206306902636095
"Lateral_Area_7A_L","Cerebelum 7b Right","SMH","CBL",2,360,2.67430695858072,56,0.00979665938910179
"Area_6_anterior_L","Cerebelum 7b Right","SMH","CBL",48,360,2.76569654776976,56,0.00767916330393641
"Medial_IntraParietal_Area_L","Cerebelum 7b Right","DAN","CBL",87,360,3.05542927691544,56,0.0034388125431368
"Area_IFJa_L","Cerebelum 7b Right","DAN","CBL",113,360,2.85830848055318,56,0.00597033310913712
"Dorsal_area_6_R","Cerebelum 7b Right","SMH","CBL",205,360,2.80635897202407,56,0.00687985695785194
"Area_2_R","Cerebelum 7b Right","SMH","CBL",215,360,2.6851909659078,56,0.00951904997939229
